Cột 1,Cột 2,Cột 3,Cột 4,Cột 5,Cột 6,Cột 7
29/07/2026 8:38:57,Minh Anh Nguyen,GDA5DXVCYX2AS5IO47LGFRG6T7TMNPMZ5GFTAQJXTUR4KB3UBFAVWHWQ,minh.anh.nguyen@example.com,aebe5a89277cb71141008f490e20f65637219dbb71a436f3924404a256f8b815,5,The interface is clean and easy to navigate.
29/07/2026 11:35:42,Quang Huy Tran,GAAZ5NMBK2OSXA6HCQQFPTQBQZH3BHTUGOEEFT2VEVNH26VONFEOD54C,quang.huy.tran@example.com,5c9e0ac120bd7d3a82dfbeed24e88d61fddb9eb326c9911db2868c8ce3b7466d,4,The supply information is presented clearly.
29/07/2026 15:45:49,Gia Bao Le,GDHSTG7ADTYHOW5NTCSLCK7BLGZPGDY2Z72ASPIQTRW2ACWV65RDTS5B,gia.bao.le@example.com,db598f165adb89630408f7e6486b356e29b64fec3ab57e36d12f38aa2100e154,5,The transaction details are easy to follow.
30/07/2026 11:25:53,Thanh Nam Pham,GDK4OEPB7GL3FPCZ74L4OKPU4HDPBH7PFEDL5JISVDPLMXXEUD3HNWKV,thanh.nam.pham@example.com,56afdeae3a8ca10bb1b4de612122b605f534e11cdffdc97f6e75b2e537d1f29a,3,The layout is simple and well organized.
30/07/2026 15:54:02,Hoang Long Vu,GCGN556EGDNHGJLEZKZD772BIIK54RSG7IUU5WWWFCC3JJUBSAKVJUW6,hoang.long.vu@example.com,8519ce5eeefcb44624f1037f7a09c77948264475ed683730650f754da4e5c811,4,The item information is easy to understand.
30/07/2026 22:45:22,Duc Minh Hoang,GB4FPKWBGA2SR35UTD5K7ERPZXZGXMOT5JR457ANFZD5IEIRCIG2IURE,duc.minh.hoang@example.com,fcbad4b671ae1c688c374d71b4b37947a40a342a8fc6a5f179f20dd0824f12d1,5,The main functions are straightforward to use.
31/07/2026 3:04:10,Tuan Kiet Do,GBKMED6OIJTS36VMD2ZMDGUF4K2HQQ2I3XRVJVXHX6FEXIUAKVZE7HF7,tuan.kiet.do@example.com,33585d50d8e830d0423f063d7bd69eabccd5c6bacbf18247ecef50e427c235e5,4,The overall design looks clean and modern.
31/07/2026 6:56:26,Ngoc Mai Bui,GAV5FOZL53RFLHHYTASDOIE5G3WO6I5URENHDSDV336FFUIM7GGMFJWQ,ngoc.mai.bui@example.com,0a44f3c0a8d2d1ca24e9ee5d58da9488b5e7cf360869819478f687726c9cf0fe,5,Wallet and transaction details are easy to track.
31/07/2026 16:57:27,Hai Dang Phan,GDPTWH6LHC3N3JLJ2O6ZT7IFL3FHXIDHRYTGV2TYWMD54NP6OT6HOW7L,hai.dang.phan@example.com,218a876b3b82f13154b02fca5dfaeeab2123923efb9999dc15bd774973396d1f,3,The page loads quickly and feels lightweight.
31/07/2026 22:04:38,Khanh Linh Vo,GDCD3PSJVCKCN6MF7D67FQFPF5N4CIQEPVMDWOQHZ4ATWS2NAT7Y2QHU,khanh.linh.vo@example.com,7504eb439de3d11850b615374782b39fad928b9fb3216e9d63ea424020aab458,4,The transaction information is clearly displayed.
01/08/2026 8:46:24,Thanh Tung Dang,GATE4EABV5DM4WD7ZJNUK5AP6E6P4TLVUUEKOGBHV6JJUBV7D677Z3PV,thanh.tung.dang@example.com,367cd16260114a4b187f5ea1c4c5d11ca4574c4ad432c5271bdd8cd3efe63442,5,The design fits well with a Stellar-based dApp.
